pmid,g2p_id
1281024,G2P01578
1283150,G2P00951
1284474,G2P00276
1287637,G2P00592
1293176,G2P00410
1301190,G2P01042
1301916,G2P01115
1301938,G2P01042
1301943,G2P00275
1302008,G2P00198
1303177,G2P00951
1303193,G2P00577
1307252,G2P00658
1307741,G2P00507
1308352,G2P01440
1309003,G2P00549
1309152,G2P01621
1316765,G2P00709
1335858,G2P00855
1341034,G2P01621
1346349,G2P00698
1347148,G2P00577
1348094,G2P00410
1353665,G2P01513
1355066,G2P00275
1355415,G2P00658
1355848,G2P01189
1357970,G2P00042
1358789,G2P00275
1359314,G2P01621
1360878,G2P00284
1361752,G2P00658
1370218,G2P01621
1371725,G2P00857
1388424,G2P01621
1395032,G2P01227
1401314,G2P00507
1401934,G2P00698
1405472,G2P00434
1405478,G2P00150
1405484,G2P00828
1409445,G2P01189
1412702,G2P01621
1415256,G2P01621
1420454,G2P00698
1421917,G2P01621
1424203,G2P00507
1438390,G2P00491
1442892,G2P01221
1456283,G2P00438
1464971,G2P00410
1468454,G2P00698
1475254,G2P00359
1480178,G2P00507
1483694,G2P01115
1486684,G2P00549
1487231,G2P01115
1487241,G2P01189
1487253,G2P00373
1490658,G2P01578
1496988,G2P01621
1499191,G2P00410
1499588,G2P00359
1508223,G2P00507
1511982,G2P00021
1513469,G2P01621
1522852,G2P01621
1524870,G2P01368
1528015,G2P01621
1536787,G2P00876
1536891,G2P00507
1537355,G2P01326
1549234,G2P00088
1551669,G2P00684
1558964,G2P00946
1569184,G2P00549
1583645,G2P01548
1588132,G2P00507
1594625,G2P01167
1601417,G2P01621
1605198,G2P00658
1606711,G2P01159
1612215,G2P01115
1613762,G2P01621
1618021,G2P00658
1618489,G2P01115
1619028,G2P00749
1619998,G2P00341
1639384,G2P00951
1642282,G2P01152
1659668,G2P00392
1671317,G2P00088
1671768,G2P00275
1671810,G2P00275
1678810,G2P00491
1679029,G2P00275
1681950,G2P01621
1683156,G2P00042
1718266,G2P00182
1719426,G2P00410
1720553,G2P00447
1721894,G2P00088
1722323,G2P00114
1733592,G2P00698
1742044,G2P00088
1743214,G2P00410
1745358,G2P01621
1749221,G2P00934
1757093,G2P00410
1757962,G2P01621
1757967,G2P00733
1764145,G2P01115
1770532,G2P00021
1770778,G2P00684
1776631,G2P00538
1779640,G2P00647
1779652,G2P01368
1806371,G2P00088
1830138,G2P00186
1840100,G2P01042
1840477,G2P00946
1855572,G2P01621
1861454,G2P01299
1864612,G2P01621
1865235,G2P01621
1867198,G2P00021;G2P00575
1867267,G2P01621
1879549,G2P00114
1884514,G2P00235
1889805,G2P01621
1897526,G2P00240
1901826,G2P00951
1906048,G2P00951
1909401,G2P00684
1961409,G2P00410
1968617,G2P00275
1975096,G2P00275
1975559,G2P00275
1979309,G2P00275
1999489,G2P00276
2008837,G2P01621
2010534,G2P00876
2012137,G2P00088
2035531,G2P00088
2039614,G2P01621
2042836,G2P00235
2044609,G2P00275
2059324,G2P00275
2063877,G2P01621
2072118,G2P01621
2082330,G2P00496
2091927,G2P00275
2095337,G2P00088
2105266,G2P00410
2107882,G2P01407
2109828,G2P01032
2116548,G2P01115
2117855,G2P00946
2119939,G2P00410
2120217,G2P01189
2121405,G2P00423
2127432,G2P00410
2146865,G2P01621
2159212,G2P01227
2166947,G2P00698
2178618,G2P01621
2180286,G2P01621
2199849,G2P01621
2205076,G2P01621
2206159,G2P01621
2212001,G2P01384
2222472,G2P00549
2233281,G2P00828
2240031,G2P01621
2246858,G2P00275
2295698,G2P00946
2297303,G2P01621
2308623,G2P00276
2309142,G2P00275
2310438,G2P01621
2318961,G2P00235
2336709,G2P00934
2339128,G2P01513
2342539,G2P01189
2347583,G2P00088
2358296,G2P01115
2363429,G2P00698
2424236,G2P00283
2491010,G2P01621
2493379,G2P00283
2509807,G2P00341
2513275,G2P01159
2516460,G2P00410
2517025,G2P00410
2517815,G2P00410
2536049,G2P01621
2537329,G2P01106
2543071,G2P01513
2553027,G2P00473
2563219,G2P00235
2565120,G2P00275
2569272,G2P00275
2569551,G2P00946
2569949,G2P00275
2572141,G2P01115
2573275,G2P00283
2574153,G2P00275
2574462,G2P00042
2576129,G2P00275
2611447,G2P01384
2614492,G2P01621
2619022,G2P00235
2622813,G2P00275
2624184,G2P01115
2624235,G2P00698
2643315,G2P01621
2647055,G2P01621
2658591,G2P00496
2660836,G2P01621
2679858,G2P00876
2725554,G2P01621
2725625,G2P01384
2741942,G2P00088
2810339,G2P01621
2821406,G2P01621
2828760,G2P01115
2835825,G2P01115
2840952,G2P00275
2849209,G2P01106
2849642,G2P02489
2849860,G2P01227
2878976,G2P00042
2879929,G2P01621
2884567,G2P00275
2889315,G2P01428
2891259,G2P00088
2891604,G2P00691
2895188,G2P00737
2895584,G2P01621
2903379,G2P01578
2904404,G2P01115
2906525,G2P01621
2918522,G2P01621
2941730,G2P01042
2952680,G2P00573
2959149,G2P01042
2977281,G2P01621
3035918,G2P01227
3060072,G2P01621
3062133,G2P01621
3079894,G2P01159
3101494,G2P00473
3106178,G2P00507
3109790,G2P01189
3120171,G2P00698
3124093,G2P01159
3128690,G2P00857
3137899,G2P00698
3139477,G2P00507
3139931,G2P00150
3141715,G2P00359
3148064,G2P01115
3150234,G2P01372
3152484,G2P00410
3170748,G2P00088
3183846,G2P00538
3228136,G2P00114
3265398,G2P01115
3287208,G2P00631
3308682,G2P00647
3319636,G2P00275
3353383,G2P00946
3354613,G2P01621
3384945,G2P00642;G2P01175
3407856,G2P00154
3430730,G2P01621
3440446,G2P00796;G2P01326
3447937,G2P00507
3460517,G2P01326
3481181,G2P01578
3492314,G2P00698
3562224,G2P01621
3563511,G2P01115
3585425,G2P01621
3599493,G2P01115
3632035,G2P00258
3698449,G2P01621
3721503,G2P01621
3738904,G2P01326
3749060,G2P01115
3754562,G2P01384
3767321,G2P00288
3777022,G2P01621
3781101,G2P01621
3783336,G2P01299
3794887,G2P01372
3817319,G2P00623
3826553,G2P01621
3856094,G2P00235
3864397,G2P00283
3878120,G2P00698
3888441,G2P02294
3920902,G2P01643
3930839,G2P00737
3937431,G2P00473
3946419,G2P00698
3982555,G2P00698
4022673,G2P00491
4033935,G2P01368
4040692,G2P03460
4052627,G2P01666
6087154,G2P01115
6091196,G2P01762
6112253,G2P00737
6116856,G2P00423
6123259,G2P00042
6125278,G2P01621
6125810,G2P01227
6140547,G2P00283
6148691,G2P01428
6149514,G2P00042
6179374,G2P01189
6201351,G2P01115
6224417,G2P01042
6282513,G2P01621
6283911,G2P00591
6288290,G2P01227
6299616,G2P01227
6302392,G2P01227
6303628,G2P00341
6325658,G2P01227
6325912,G2P01551
6329765,G2P01227
6405388,G2P00616
6418227,G2P00698
6424438,G2P00473
6438403,G2P00573
6443743,G2P01159
6472974,G2P00275
6475731,G2P00828
6480803,G2P00507
6493275,G2P00672
6507502,G2P00876
6511918,G2P00088
6548607,G2P01106
6572373,G2P01115
